salt,vacuum,SBU,smiles
0,0,1,O=C(C1=CC=C(C2=CC=C(/C3=C4C=CC(/C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)=C(N/7)/C=CC7=C(C8=CC=C(C9=CC=C(C(O)=O)C=C9)C=C8)\C%10=N/C(C=C%10)=C(C%11=CC=C(C%12=CC=C(C(O)=O)C=C%12)C=C%11)\C%13=CC=C3N%13)=N\4)C=C2)C=C1)O
0,0,1,OC1=CC(C(O)=O)=CC(O)=C1O
0,0,1,OC1=CC(C(O)=O)=CC(O)=C1O
1,0,1,O=C(O)C1=CC=C(C=C1)/C2=C3C=CC(/C(C4=CC=C(C=C4)C(O)=O)=C5C=C/C(N/5[Fe]N6C2=CC=C6/C(C7=CC=C(C=C7)C(O)=O)=C8N=C9C=C\8)=C9\C%10=CC=C(C=C%10)C(O)=O)=N\3
0,0,0,O=C(C1=CC=C(C(O)=O)C=C1)O
0,0,0,O=C(C1=CC=C(C2=CC=C(C(O)=O)C=C2)C=C1)O
0,0,0,OC(C1=CC=C(C=C1)C2=CC=C(C3=CC=C(C(O)=O)C=C3)C=C2)=O
0,0,1,O=C(C1=CC=C(C(O)=O)S1)O
0,0,1,O=C(C1=CC=C(C(O)=O)S1)O
0,0,0,O=C(C1=CC=C(C(O)=O)S1)O
0,0,1,O=C(O)C1=CC=C(C#CC2=CC=C(C(C3=CC=C(C#CC4=CC=C(C=C4)C(O)=O)C=C3)(C5=CC=C(C#CC6=CC=C(C=C6)C(O)=O)C=C5)C7=CC=C(C#CC8=CC=C(C=C8)C(O)=O)C=C7)C=C2)C=C1
0,0,1,O=C(O)C1=CC=C(C#CC2=C(F)C(F)=C(B(C3=C(F)C(F)=C(C#CC4=CC=C(C=C4)C(O)=O)C(F)=C3F)(C5=C(F)C(F)=C(C#CC6=CC=C(C=C6)C(O)=O)C(F)=C5F)C7=C(F)C(F)=C(C#CC8=CC=C(C=C8)C(O)=O)C(F)=C7F)C(F)=C2F)C=C1
0,0,0,O=C(C1=CC=C(C2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4=CC=C(C(O)=O)C=C4)=C2)C=C1)O
0,0,0,O=C(C1=CC=C(C2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4=CC=C(C(O)=O)C=C4)=C2)C=C1)O
0,0,0,O=C(C1=CC=C(/N=N/C2=CC=C(C([O-])=O)C=C2)C=C1)[O-]
0,0,0,O=C(O)C1=CN=C(C=C1)C2=NC(C3=CC=C(C=C3)C(O)=O)=CC(C4=CC=C(C=C4)C(O)=O)=C2
0,0,0,O=C(C1=NC=C(C(O)=O)N=C1)O
0,1,0,O=C(C1=CC=C2C=C(C(O)=O)C=CC2=C1)O
0,1,1,O=C(C1=CC=C2C=C(C(O)=O)C=CC2=C1)O
1,0,0,O=C(C1=CC=C(C#CC#CC2=CC=C(C(O)=O)C=C2)C=C1)O
0,0,0,O=C(C1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C(O)=O)C=C3)C=C2)C=C1)O
0,0,0,O=C(C1=CC=C(C#CC2=CC=C(C3=CC=C(C(O)=O)C=C3)C=C2)C=C1)O
1,0,0,O=C(C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C(O)=O)C=C4)C=C3)C=C2)C=C1)O
0,1,0,O=C(C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C(O)=O)C=C4)C=C3)C([N+]([O-])=O)=C2)C=C1)O
0,0,0,O=C(COC1=C2C=CC=C1CC3=C(OCC(O)=O)C(CC4=CC=CC(CC5=CC=CC(C2)=C5OCC(O)=O)=C4OCC(O)=O)=CC=C3)O
0,1,0,O=C(C1=CC=C(C#CC2=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C(C5=C(C=CC=C6)C6=C(C#CC7=CC=C(C(O)=O)C=C7)C=C5P(C8=CC=CC=C8)C9=CC=CC=C9)C%10=C2C=CC=C%10)C=C1)O
0,0,1,O=C(CSC1=NN=C(SCC(O)=O)N=N1)O
0,0,0,O=C(O)/C=C/C(O)=O
1,0,1,O=C(C1=CC=C(C2=CC=C(C3=C2)C4=C(C5=CC(C6=CC=C(C(O)=O)C=C6)=CC=C5C7=C3C=C(C8=CC=C(C(O)=O)C=C8)C=C7)C=C(C9=CC=C(C(O)=O)C=C9)C=C4)C=C1)O
0,0,1,OC1=C(C2=CC=C(C(O)=O)C=C2)C=C(C3=CC(C4=CC=C(C(O)=O)C=C4)=C(O)C(C5=CC=C(C(O)=O)C=C5)=C3)C=C1C6=CC=C(C(O)=O)C=C6
0,0,1,OC1=C(C2=CC=C(C(O)=O)C=C2)C3=C(C4=CC(C5=CC=C(C(O)=O)C=C5)=C(O)C(C6=CC=C(C(O)=O)C=C6)=C4N3)C=C1C7=CC=C(C(O)=O)C=C7
1,0,0,O=C(C1=CC=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C=C2
0,0,0,O=C(C1=CC=C(C2=CC=C(C3=CC=C(C(O)=O)C=C3)C(/N=C/C4=CC=CC=C4O)=C2)C=C1)O
0,0,0,O=[N+](C1=CC(C2=CC=CC=C2C(O)=O)=CC=C1C3=CC=C(C4=CC=CC=C4C(O)=O)C=C3)[O-]
0,0,0,O=C(C1=CC(C(O)=O)=CN=C1)O
0,1,0,O=C(O)C1=CC=C(C(O)=O)C=C1N2C=CN=C2
0,0,1,OC(C1=CC=C(C=C1)C2=CC=C(C3=CC=C(C(O)=O)C=C3)C=C2)=O
1,0,0,O=C(O)C1=C(F)C(F)=C(C(F)=C1F)C2=C(F)C(F)=C(C(F)=C2F)C(O)=O
0,0,0,O=C(O)C1=CC=C(C(O)=O)C=C1N
1,0,0,O=C(C1=CC=C(C(O)=O)C=C1)O
1,0,0,O=C(C1=CC=C(C(O)=O)O1)O
0,0,1,CC1=C(C2=CC=C(C=C2)C([O-])=O)C(C)=C(C3=CC=C(C=C3)C([O-])=O)C(C)=C1C4=CC=C(C=C4)C([O-])=O
0,0,0,O=C(C1=NC=C(C(O)=O)C=C1)O
0,1,0,O=C(C1=CC=C(C2=CC(C)=C(C3=CC=C(C(O)=O)C=C3)C=C2C)C=C1)O
1,0,1,O=P(CC1=CC=C(C2=NC(C3=CC=C(CP(O)(O)=O)C=C3)=NC(C4=CC=C(CP(O)(O)=O)C=C4)=N2)C=C1)(O)O
0,0,1,O=C(C(S1)=CC2=C1C(C=C(C(O)=O)S3)=C3S2)O
